customerName,totalOrderValue
"Euro+ Shopping Channel",820689.5399999992
"Mini Gifts Distributors Ltd.",591827.3399999996
"Australian Collectors, Co.",180585.07
"Muscle Machine Inc",177913.95000000007
"La Rochelle Gifts",158573.11999999997
"Dragon Souveniers, Ltd.",156251.03
"Down Under Souveniers, Inc",154622.08000000005
"Land of Toys Inc.",149085.14999999997
"AV Stores, Co.",148410.09000000003
"The Sharp Gifts Warehouse",143536.27000000002
"Salzburg Collectables",137480.07
"Kelly's Gift Shop",137460.79
"Anna's Decorations, Ltd",137034.21999999994
"Souveniers And Things Co.",133907.12
"Corporate Gift Ideas Co.",132340.77999999997
"Saveley & Henriot, Co.",130305.34999999999
"Danish Wholesale Imports",129085.12000000002
"Rovelli Gifts",127529.68999999999
"Reims Collectables",126983.18999999997
"L'ordine Souveniers",125505.57
"Scandinavian Gift Ideas",120943.53000000001
"Online Diecast Creations Co.",116449.29000000001
"Corrida Auto Replicas, Ltd",112440.08999999998
"Vida Sport, Ltd",108777.92
"Handji Gifts& Co",107746.75
"UK Collectables, Ltd.",106610.71999999999
"Tokyo Collectables, Ltd",105548.73000000001
"Technics Stores Inc.",104545.22
"Diecast Classics Inc.",104358.69
"Baane Mini Imports",104224.78999999996
"Suominen Souveniers",103896.73999999999
"Mini Creations Ltd.",101872.52
"Herkku Gifts",97562.46999999999
"Oulu Toy Supplies, Inc.",95706.15
"Toys of Finland, Co.",95546.46
"Gift Depot Inc.",95424.63
GiftsForHim.com,94431.76000000001
Toys4GrownUps.com,93803.29999999999
"Marta's Replicas Co.",90545.37
"Extreme Desk Decorations, Ltd",90332.37999999996
"Heintze Collectables",89909.8
"Toms SpezialitÃ¤ten, Ltd",89223.14000000003
FunGiftIdeas.com,88627.48999999999
"Cruz & Sons Co.",87468.29999999999
"La Corne D'abondance, Co.",86553.52
"Auto Canal+ Petit",86436.96999999999
Gifts4AllAges.com,84340.32
"Amica Models & Co.",82223.23
"Tekni Collectables Inc.",81806.55
"Stylish Desk Decors, Co.",80556.73000000001
"Collectable Mini Designs Co.",80375.23999999999
"Signal Gift Stores",80180.97999999998
"Mini Classics",78432.16000000002
"Motor Mint Distributors Inc.",77726.59000000001
"Blauer See Auto, Co.",75937.76
"Mini Caravy",75859.32
"Collectables For Less Inc.",73533.65000000001
"Vitachrome Inc.",72497.64
giftsbymail.co.uk,71783.75
"Marseille Mini Autos",71547.53
"Petit Auto",70851.58
"Super Scale Inc.",70378.65000000001
"Canadian Gift Exchange Network",70122.18999999999
"Classic Legends Inc.",69214.33000000002
"Norway Gifts By Mail, Co.",69059.04000000001
"QuÃ©bec Home Shopping Network",68977.67
"Enaco Distributors",68520.47
"Lyon Souveniers",67659.19
"Royal Canadian Collectables, Ltd.",66812
"Mini Wheels Co.",66710.56
"Volvo Model Replicas, Co",66694.81999999999
"Diecast Collectables",65541.74
"Osaka Souveniers Co.",62361.219999999994
"Daedalus Designs Imports",61781.7
"Alpha Cognac",60483.359999999986
"Auto AssociÃ©s & Cie.",58876.409999999996
"Classic Gift Ideas, Inc",57939.340000000004
"Australian Collectables, Ltd",55866.02
"Online Mini Collectables",55577.26000000001
"Australian Gift Network, Co",55190.16
"Mini Auto Werke",51059.99
"Iberia Gift Imports, Corp.",50987.850000000006
"Gift Ideas Corp.",49967.77999999999
"Clover Collections, Co.",49898.270000000004
"CAF Imports",46751.14000000001
"King Kong Collectables, Co.",45480.78999999999
"West Coast Collectables Co.",43748.719999999994
"Signal Collectibles Ltd.",42570.37
"Men 'R' US Retailers, Ltd.",41506.189999999995
"Cambridge Collectables Co.",32198.69
"Bavarian Collectables Imports, Co.",31310.089999999997
"Double Decker Gift Stores, Ltd",29586.149999999998
"Microscale Inc.",29230.43
"Royale Belge",29217.18
"Frau da Collezione",25358.32
"Atelier graphique",22314.36
"Auto-Moto Classics Inc.",21554.260000000002
"Boards & Toys Co.",7918.6
