customerName,avgDaysBetweenOrderAndPayment
"Alpha Cognac",32.6667
"Amica Models & Co.",14.0000
"Anna's Decorations, Ltd",24.5000
"Atelier graphique",20.3333
"Australian Collectables, Ltd",-118.5000
"Australian Collectors, Co.",-53.5500
"Australian Gift Network, Co",19.3333
"Auto AssociÃ©s & Cie.",9.5000
"Auto Canal+ Petit",17.0000
"Auto-Moto Classics Inc.",12.3333
"AV Stores, Co.",16.6667
"Baane Mini Imports",19.7500
"Bavarian Collectables Imports, Co.",13.0000
"Blauer See Auto, Co.",13.7500
"Boards & Toys Co.",19.0000
"CAF Imports",15.5000
"Cambridge Collectables Co.",12.0000
"Canadian Gift Exchange Network",15.0000
"Classic Gift Ideas, Inc",12.5000
"Classic Legends Inc.",13.0000
"Clover Collections, Co.",17.5000
"Collectable Mini Designs Co.",21.5000
"Collectables For Less Inc.",15.3333
"Corporate Gift Ideas Co.",21.5000
"Corrida Auto Replicas, Ltd",13.6667
"Cruz & Sons Co.",4.6667
"Daedalus Designs Imports",17.0000
"Danish Wholesale Imports",-63.6000
"Diecast Classics Inc.",-26.7500
"Diecast Collectables",17.5000
"Double Decker Gift Stores, Ltd",14.5000
"Down Under Souveniers, Inc",-24.7500
"Dragon Souveniers, Ltd.",62.1000
"Enaco Distributors",16.0000
"Euro+ Shopping Channel",-30.5000
"Extreme Desk Decorations, Ltd",-106.0000
"Frau da Collezione",13.0000
FunGiftIdeas.com,28.0000
"Gift Depot Inc.",13.3333
"Gift Ideas Corp.",11.3333
Gifts4AllAges.com,-80.3333
giftsbymail.co.uk,11.5000
GiftsForHim.com,-147.5000
"Handji Gifts& Co",-62.1667
"Heintze Collectables",12.5000
"Herkku Gifts",65.8333
"Iberia Gift Imports, Corp.",17.5000
"Kelly's Gift Shop",91.0833
"King Kong Collectables, Co.",16.0000
"L'ordine Souveniers",-131.1667
"La Corne D'abondance, Co.",15.0000
"La Rochelle Gifts",-36.5833
"Land of Toys Inc.",1.8333
"Lyon Souveniers",33.0000
"Marseille Mini Autos",18.6667
"Marta's Replicas Co.",12.0000
"Men 'R' US Retailers, Ltd.",11.0000
"Microscale Inc.",10.0000
"Mini Auto Werke",31.6667
"Mini Caravy",19.0000
"Mini Classics",17.0000
"Mini Creations Ltd.",10.3333
"Mini Gifts Distributors Ltd.",-62.4248
"Mini Wheels Co.",15.0000
"Motor Mint Distributors Inc.",9.0000
"Muscle Machine Inc",16.7500
"Norway Gifts By Mail, Co.",17.0000
"Online Diecast Creations Co.",12.6667
"Online Mini Collectables",12.5000
"Osaka Souveniers Co.",5.5000
"Oulu Toy Supplies, Inc.",14.3333
"Petit Auto",-113.5000
"QuÃ©bec Home Shopping Network",15.3333
"Reims Collectables",-15.6500
"Rovelli Gifts",18.3333
"Royal Canadian Collectables, Ltd.",16.0000
"Royale Belge",13.0000
"Salzburg Collectables",-91.4167
"Saveley & Henriot, Co.",15.0000
"Scandinavian Gift Ideas",170.3333
"Signal Collectibles Ltd.",17.5000
"Signal Gift Stores",16.0000
"Souveniers And Things Co.",-80.3333
"Stylish Desk Decors, Co.",17.3333
"Suominen Souveniers",17.6667
"Super Scale Inc.",8.5000
"Technics Stores Inc.",18.2500
"Tekni Collectables Inc.",-100.0000
"The Sharp Gifts Warehouse",-135.2500
"Tokyo Collectables, Ltd",14.2500
"Toms SpezialitÃ¤ten, Ltd",19.0000
"Toys of Finland, Co.",23.6667
Toys4GrownUps.com,17.3333
"UK Collectables, Ltd.",-129.5000
"Vida Sport, Ltd",19.5000
"Vitachrome Inc.",17.0000
"Volvo Model Replicas, Co",-125.5000
"West Coast Collectables Co.",11.5000
