month,totalOrders,totalRevenue
2003-01,5,116692.77000000003
2003-02,3,128403.64000000001
2003-03,6,160517.14000000004
2003-04,7,185848.58999999997
2003-05,6,179435.55
2003-06,7,150470.77000000005
2003-07,7,201940.36
2003-08,5,178257.11000000002
2003-09,8,236697.85
2003-10,18,514336.2099999999
2003-11,30,988025.1500000003
2003-12,9,276723.24999999994
2004-01,8,292385.2100000001
2004-02,11,289502.8399999999
2004-03,8,217691.26
2004-04,10,187575.77000000002
2004-05,8,248325.30000000002
2004-06,12,343370.74
2004-07,11,325563.49000000005
2004-08,12,419327.0899999999
2004-09,12,283799.7999999998
2004-10,13,500233.86000000004
2004-11,33,979291.9800000003
2004-12,13,428838.16999999987
2005-01,12,307737.01999999996
2005-02,12,317192.1699999999
2005-03,13,359711.9600000002
2005-04,12,344820.6200000001
2005-05,15,441474.93999999994
