customerName,distinctProductsOrdered
"Euro+ Shopping Channel",106
"Mini Gifts Distributors Ltd.",77
"Kelly's Gift Shop",45
"Souveniers And Things Co.",44
"La Rochelle Gifts",43
"Down Under Souveniers, Inc",42
"Anna's Decorations, Ltd",41
"Land of Toys Inc.",41
"Saveley & Henriot, Co.",41
"Australian Collectors, Co.",40
"Corporate Gift Ideas Co.",40
"L'ordine Souveniers",39
"The Sharp Gifts Warehouse",39
"Scandinavian Gift Ideas",38
"AV Stores, Co.",37
"Dragon Souveniers, Ltd.",37
"Reims Collectables",37
"Salzburg Collectables",36
"Mini Creations Ltd.",34
"Online Diecast Creations Co.",34
"Rovelli Gifts",34
"Baane Mini Imports",32
"Muscle Machine Inc",32
"Tokyo Collectables, Ltd",32
"Danish Wholesale Imports",31
"Diecast Classics Inc.",31
"Oulu Toy Supplies, Inc.",31
"Suominen Souveniers",30
"Technics Stores Inc.",30
"Toys of Finland, Co.",30
"Extreme Desk Decorations, Ltd",29
"Handji Gifts& Co",29
"Herkku Gifts",29
Toys4GrownUps.com,29
"UK Collectables, Ltd.",29
"Heintze Collectables",27
"Marta's Replicas Co.",27
"Amica Models & Co.",26
"Corrida Auto Replicas, Ltd",26
FunGiftIdeas.com,26
giftsbymail.co.uk,26
GiftsForHim.com,26
"Mini Classics",26
"Royal Canadian Collectables, Ltd.",26
"Stylish Desk Decors, Co.",26
"Collectable Mini Designs Co.",25
"Gift Depot Inc.",25
"Vitachrome Inc.",25
"Collectables For Less Inc.",24
"Marseille Mini Autos",24
"Norway Gifts By Mail, Co.",24
"Signal Gift Stores",24
"Australian Collectables, Ltd",23
"Blauer See Auto, Co.",22
"Cruz & Sons Co.",22
"Enaco Distributors",22
"La Corne D'abondance, Co.",22
"QuÃ©bec Home Shopping Network",22
"Classic Gift Ideas, Inc",21
Gifts4AllAges.com,21
"Tekni Collectables Inc.",21
"Alpha Cognac",20
"Classic Legends Inc.",20
"Lyon Souveniers",20
"Osaka Souveniers Co.",20
"Petit Auto",20
"Canadian Gift Exchange Network",19
"Gift Ideas Corp.",19
"Mini Caravy",19
"Mini Wheels Co.",19
"Volvo Model Replicas, Co",19
"Auto Canal+ Petit",18
"Diecast Collectables",18
"Auto AssociÃ©s & Cie.",17
"Motor Mint Distributors Inc.",17
"Super Scale Inc.",17
"Toms SpezialitÃ¤ten, Ltd",17
"Vida Sport, Ltd",17
"Clover Collections, Co.",16
"Australian Gift Network, Co",15
"Iberia Gift Imports, Corp.",15
"Mini Auto Werke",15
"Online Mini Collectables",15
"Signal Collectibles Ltd.",15
"Bavarian Collectables Imports, Co.",14
"Daedalus Designs Imports",14
"Men 'R' US Retailers, Ltd.",14
"CAF Imports",13
"West Coast Collectables Co.",13
"Double Decker Gift Stores, Ltd",12
"King Kong Collectables, Co.",12
"Cambridge Collectables Co.",11
"Microscale Inc.",10
"Auto-Moto Classics Inc.",8
"Frau da Collezione",8
"Royale Belge",8
"Atelier graphique",7
"Boards & Toys Co.",3
